SiteID, 18968.0
Longitude, -97.920868
Latitude, 35.276543
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),power (MW)
2012,11,1,0,0,0.961,0.0
2012,11,1,0,5,1.055,0.0
2012,11,1,0,10,1.062,0.0
2012,11,1,0,15,1.034,0.0
2012,11,1,0,20,1.065,0.0
2012,11,1,0,25,1.223,0.0
2012,11,1,0,30,1.419,0.0
2012,11,1,0,35,1.553,0.0
2012,11,1,0,40,1.6600000000000001,0.0
2012,11,1,0,45,1.748,0.0
2012,11,1,0,50,1.7850000000000001,0.0
2012,11,1,0,55,1.788,0.0
2012,11,1,1,0,1.776,0.0
2012,11,1,1,5,1.724,0.0
2012,11,1,1,10,1.693,0.0
2012,11,1,1,15,1.727,0.0
2012,11,1,1,20,1.824,0.0
2012,11,1,1,25,1.965,0.0
2012,11,1,1,30,2.093,0.0
2012,11,1,1,35,2.13,0.0
2012,11,1,1,40,2.087,0.0
2012,11,1,1,45,2.017,0.0
2012,11,1,1,50,1.983,0.0
2012,11,1,1,55,1.98,0.0
2012,11,1,2,0,1.959,0.0
2012,11,1,2,5,1.931,0.0
2012,11,1,2,10,1.8920000000000001,0.0
2012,11,1,2,15,1.84,0.0
2012,11,1,2,20,1.803,0.0
2012,11,1,2,25,1.8,0.0
2012,11,1,2,30,1.828,0.0
2012,11,1,2,35,1.867,0.0
2012,11,1,2,40,1.9160000000000001,0.0
2012,11,1,2,45,1.986,0.0
2012,11,1,2,50,2.044,0.0
2012,11,1,2,55,2.096,0.0
2012,11,1,3,0,2.105,0.0
2012,11,1,3,5,2.145,0.0
2012,11,1,3,10,2.267,0.008
2012,11,1,3,15,2.471,0.024
2012,11,1,3,20,2.624,0.036000000000000004
2012,11,1,3,25,2.688,0.041
2012,11,1,3,30,2.703,0.042
2012,11,1,3,35,2.691,0.041
2012,11,1,3,40,2.6790000000000003,0.04
2012,11,1,3,45,2.661,0.039
2012,11,1,3,50,2.6,0.034
2012,11,1,3,55,2.536,0.029
2012,11,1,4,0,2.496,0.026000000000000002
2012,11,1,4,5,2.471,0.024
2012,11,1,4,10,2.462,0.023
2012,11,1,4,15,2.505,0.027
